RespondentID,choice,avcycle,avwalk,avhsr,avcar,timecycle,timewalk,accesshsr,waitingtimehsr,transfer,timehsr,timecar,parking,vehind,owncycle,gender,work,visa,age,solo,shared,family,child,primary_caregiver,LAT,LONG,DAUID,mhi,dwell_den,lum,st_den,inter_den,SF_P_ratio,side_den,Shelters_SD,Shelters_D,Shelters_A,Shelters_SA
576597558,2,0,1,1,0,2.91407871,10,12.42,10.23,0,2,100000,0,0,0,0,0,1,20,0,1,0,0,100000,43.261318,-79.907289,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,0,0,0
576647400,2,1,1,1,0,3.496894452,12,2.13,10.23,0,5,100000,0,0,1,1,0,1,20,0,1,0,0,100000,43.258076,-79.911943,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,0,0
576698472,2,0,1,1,0,4.371118065,15,7.08,10.23,0,4,100000,0,0,0,0,0,1,22,0,1,0,0,100000,43.257705,-79.9222,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,1,0
576706427,2,0,1,1,0,2.91407871,10,12.42,10.23,0,1,100000,0,0,0,0,0,1,20,0,1,0,0,100000,43.257705,-79.9222,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,1,0,0
576707946,4,0,0,1,1,100000,100000,21.31,10.23,1,50,20,0,0,1,1,0,1,18,0,0,1,1,0,43.215922,-79.908368,35250120,7.9361,2340.745695,0.031087,19.69704063,66.87844842,0.241789,27.76739396,0,0,0,0
576710819,4,0,0,1,1,100000,100000,12.42,10.23,2,75,20,0,0,0,0,1,1,19,0,0,1,0,0,43.218472,-79.918446,35250123,9.1358,1368.925394,0.17913,10.10814511,11.40771161,0.346707,20.28181241,0,0,0,0
576716390,2,0,1,1,0,2.91407871,10,12.42,10.23,0,7,100000,0,0,0,0,0,1,19,0,1,0,0,100000,43.257934,-79.914077,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,0,1
576725966,2,0,1,1,0,3.496894452,12,0.21,10.23,0,4,100000,0,0,0,1,0,1,20,0,1,0,0,100000,43.254309,-79.921102,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,0,0
576726685,2,1,1,1,0,4.371118065,15,14.91,10.23,0,5,100000,0,0,1,0,1,1,21,0,1,0,0,100000,43.258845,-79.904759,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,0,1,0
576729005,2,0,1,1,0,5.82815742,20,7.2,10.23,0,2,100000,0,0,0,0,1,1,20,0,1,0,0,100000,43.253834,-79.918701,35250668,0,1353.078253,0.153819,17.71570322,75.17101406,0.295856,30.38207455,0,0,0,0
